Id,SalePrice
1,123498.2959
2,170657.6246
3,157186.268
4,177701.104
5,224324.0933
6,171511.8147
7,166989.006
8,161759.9151
9,206215.9075
10,98641.59962
11,210175.0409
12,113617.5289
13,100485.0111
14,166180.596
15,146532.8235
16,327357.8103
17,269338.4688
18,300687.9724
19,288023.5182
20,408862.7373
21,304796.7817
22,231910.0671
23,180949.7601
24,186705.0194
25,164204.277
26,201103.2235
27,321679.2686
28,274588.8707
29,202848.6029
30,198268.4181
31,198803.7195
32,115758.2977
33,187238.7069
34,289649.0982
35,289017.3599
36,221561.221
37,204268.8855
38,166042.9308
39,166042.9308
40,145497.4015
41,164330.7315
42,157700.7946
43,265405.2694
44,240942.7971
45,225437.1513
46,232401.3388
47,244057.8277
48,213709.5039
49,170557.5941
50,152381.68
51,150768.9139
52,179507.4102
53,172975.1696
54,167502.773
55,209813.3026
56,170658.536
57,150098.115
58,190619.2399
59,225245.1214
60,130783.2289
61,136848.0152
62,192589.3839
63,101816.4765
64,116166.2269
65,114627.2866
66,114533.2522
67,98642.26244
68,140868.6804
69,146801.8801
70,187998.3036
71,123122.0215
72,93215.71633
73,165541.0366
74,141112.1481
75,146330.2253
76,130170.6551
77,53476.38279
78,207356.0422
79,239874.5163
80,154401.4386
81,169667.5858
82,148649.4156
83,218780.9665
84,68854.54656
85,125368.0821
86,148194.0133
87,129838.0151
88,149674.8466
89,116280.6502
90,152646.8632
91,147370.0188
92,152556.9516
93,138275.9809
94,134719.7342
95,173291.2835
96,109169.2306
97,127739.0052
98,114432.9006
99,107772.3577
100,155716.418
101,154985.0347
102,110377.6829
103,103524.8047
104,167484.7116
105,138510.2535
106,225856.5634
107,79870.85377
108,206562.1633
109,108124.0738
110,137158.6653
111,108779.4265
112,135759.3703
113,226004.3684
114,157293.7815
115,217258.1348
116,221876.8801
117,200851.0641
118,160377.6925
119,127230.5676
120,203778.3384
121,119809.0046
122,118756.6403
123,309346.1264
124,234801.6173
125,135913.5172
126,12105.94257
127,93841.91949
128,136843.5788
129,102362.0431
130,147016.6067
131,73194.23487
132,136088.8289
133,135847.0515
134,117041.333
135,126312.416
136,238244.0145
137,188868.4847
138,183053.8879
139,202853.6537
140,216948.6078
141,926.2521562
142,140874.9478
143,84007.06847
144,257417.7967
145,259460.8942
146,177369.097
147,258898.8356
148,220023.6924
149,196405.4609
150,123017.2697
151,149417.1622
152,176165.6617
153,170510.761
154,110072.1217
155,60556.33578
156,60556.33578
157,77852.17586
158,106883.5658
159,115151.247
160,214118.7287
161,129881.6863
162,132834.5176
163,267736.7455
164,202995.0095
165,136120.9178
166,195079.3272
167,178763.6284
168,271050.9045
169,177679.0416
170,331149.9768
171,240189.1808
172,262180.4927
173,164487.3793
174,179260.752
175,161071.5155
176,168039.1692
177,182633.9975
178,221883.103
179,206330.5386
180,259381.2592
181,197245.1535
182,218429.9087
183,245837.8065
184,237980.0574
185,188401.865
186,165251.9484
187,193245.506
188,146998.584
189,122883.3867
190,98937.01188
191,98937.01188
192,113617.5289
193,114551.0604
194,168257.2856
195,178455.9601
196,166180.596
197,168257.2856
198,166180.596
199,147972.018
200,138610.4512
201,356861.2252
202,338231.8158
203,337347.4647
204,414079.8254
205,308297.5536
206,294151.5218
207,305643.2334
208,312419.6452
209,282831.5307
210,314381.9521
211,250069.0278
212,377478.706
213,284047.0564
214,274966.72
215,186239.2969
216,186807.4643
217,208208.0602
